img url,img path,duration (day),price ($),size,color,background,like,artist rate,completed
https://d9jhi50qo719s.cloudfront.net/14n7/samples/1nie_800.png,anime/img-10841.png,14,280,,1,0,0,5,3
https://d9jhi50qo719s.cloudfront.net/4fm/samples/opc_800.jpg,anime/img-10842.jpg,14,282,,1,1,2,5,10
https://d9jhi50qo719s.cloudfront.net/a2f/samples/dsg_800.png,anime/img-10843.png,2-4 week,300,full body,1,0,0,5,2
https://d9jhi50qo719s.cloudfront.net/ugf/samples/1139_800.jpeg,anime/img-10844.jpeg,30,300,,1,1,2,5,2
https://d9jhi50qo719s.cloudfront.net/wpl/samples/15ov_800.jpg,anime/img-10845.jpg,20,300,full body,1,1,0,5,1
https://d9jhi50qo719s.cloudfront.net/gf8/samples/1tm2_800.jpg,anime/img-10846.jpg,14,300,,1,1,0,5,5
https://d9jhi50qo719s.cloudfront.net/bdb/samples/fg8_800.png,anime/img-10847.png,1 month,300,full body,1,0,0,5,1
https://d9jhi50qo719s.cloudfront.net/50i/samples/jli_800.jpg,anime/img-10848.jpg,3 d,300,,1,1,0,5,6
https://d9jhi50qo719s.cloudfront.net/5b9/samples/786_800.jpg,anime/img-10849.jpg,50,329,full body,1,1,37,5,89
https://d9jhi50qo719s.cloudfront.net/jx5/samples/p7o_800.jpg,anime/img-10850.jpg,4 d,330,,1,1,0,5,3
https://d9jhi50qo719s.cloudfront.net/k3g/samples/pi5_800.jpg,anime/img-10851.jpg,1 month,350,,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/gf8/samples/1tlx_800.jpg,anime/img-10852.jpg,10,350,,1,1,0,5,5
https://d9jhi50qo719s.cloudfront.net/clx/samples/h1n_800.png,anime/img-10853.png,1 month,350,,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/16j/samples/1e6_800.jpg,anime/img-10854.jpg,2 week,370,chibi,1,1,0,5,1
https://d9jhi50qo719s.cloudfront.net/jx5/samples/pcg_800.jpg,anime/img-10855.jpg,3,380,"full body, bust up",1,1,3,5,3
https://d9jhi50qo719s.cloudfront.net/gf8/samples/1tm0_800.png,anime/img-10856.png,14,400,,1,0,0,5,5
https://d9jhi50qo719s.cloudfront.net/3n2/samples/1ef3_800.jpg,anime/img-10857.jpg,7,400,,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/1bbe/samples/1mnr_800.gif,anime/img-10858.gif,25,400,"half body, full body",0,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/jx5/samples/p7n_800.jpg,anime/img-10859.jpg,1-2 week,560,,1,1,0,5,3
https://d9jhi50qo719s.cloudfront.net/1er6/samples/1ora_800.png,anime/img-10860.png,15,600,full body,1,0,0,5,1
https://d9jhi50qo719s.cloudfront.net/1eim/samples/1oi5_800.png,anime/img-10861.png,30,600,full body,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/euu/samples/j9y_800.png,anime/img-10862.png,18+ working hour,620,full body,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/1bbe/samples/1mns_800.gif,anime/img-10863.gif,30,750,full body,0,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/e79/samples/ija_800.jpg,anime/img-10864.jpg,1 week,"50,000.00",,1,1,0,0,0
